id,date,amount,memo,category_name
1,2025-10-11,1380,"マクドナルド","外食費"
2,2025-10-05,440,"セリア","日用品費"
3,2025-10-04,3360,"炭火焼きひもの食堂いの伸","外食費"
4,2025-10-04,6171,"チャーリ","日用品費"
5,2025-09-30,803,"ローソン","外食費"
6,2025-09-28,10590,"ハローズ","食費"
7,2025-09-27,690,"スシロー","外食費"
8,2025-09-20,5956,"マルナカ","食費"
9,2025-09-18,602,"セブンイレブン","外食費"
10,2025-09-16,1740,"マクドナルド","外食費"
11,2025-09-15,4669,"すみれ","外食費"
12,2025-09-15,6144,"コスモス","日用品費"
13,2025-09-14,960,"牧のうどん","イベント特別費"
14,2025-09-14,2042,TRIAL,"イベント特別費"
15,2025-09-14,1500,"プレミアホテル門司港","イベント特別費"
16,2025-09-13,1458,"チロリアン","イベント特別費"
17,2025-09-13,2970,"瓦そばたかせ","イベント特別費"
18,2025-09-07,770,"マクドナルド","外食費"
19,2025-09-07,91000,"お米代","食費"
20,2025-09-06,1800,"3番らーめん","外食費"
21,2025-08-31,9086,"コスモス","日用品費"
22,2025-08-30,960,"マクドナルド","外食費"
23,2025-08-26,12276,"NHK受信料","通信費"
24,2025-08-26,8499,"マルナカ","食費"
25,2025-08-25,10000,"まさき8月分","口座貯蓄"
26,2025-08-25,65000,"まさき8月分","生活費用"
27,2025-08-25,2200,"サイゼリヤ","外食費"
28,2025-08-25,65000,"朱里8月分","生活費用"
29,2025-08-25,10000,"朱里8月分","口座貯蓄"
30,2025-08-15,950,"ロイヤルファームアカマツ","外食費"
31,2025-08-15,4708,"水道_0507-0707","水道光熱費"
32,2025-08-10,9920,"ドン・キホーテ","日用品費"
33,2025-08-10,3191,"イオン","食費"
34,2025-08-10,5910,"ピッツェリアコンウォーレ","外食費"
35,2025-08-03,1245,"ローソン","外食費"
36,2025-08-03,6488,"マルナカ","食費"
37,2025-07-31,10000,"まさき7月分","口座貯蓄"
38,2025-07-31,65000,"まさき7月分","生活費用"
39,2025-07-31,65000,"朱里7月分","生活費用"
40,2025-07-31,10000,"朱里7月分","イベント特別費"
41,2025-07-27,3040,"ゲーブルハウス","外食費"
42,2025-07-26,1580,"バーガーキング","外食費"
43,2025-07-26,7231,"マルナカ","食費"
44,2025-07-23,13484,"コスモス","日用品費"
